Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
BLOOMINGDALE FIRE DEPARTMENT,16002,1635 STATE RT 3 PO BOX 226,BLOOMINGDALE,NY,12913,16,Essex,5188911770,44.39829,-74.07402,"{'longitude': '-74.07402', 'latitude': '44.39829'}",2084,207,419
BLOOMINGTON FIRE COMPANY,56004,14 TAYLOR STREET PO BOX 111,BLOOMINGTON,NY,12411,56,Ulster,8453382794,41.878069,-74.04907,"{'longitude': '-74.04907', 'latitude': '41.878069'}",2182,86,430
BLOOMVILLE FIRE DEPARTMENT,13004,POB 756  243 SCOTCH HILL RD,BLOOMVILLE,NY,13739,13,Delaware,6075389081,42.335548,-74.811021,"{'longitude': '-74.811021', 'latitude': '42.335548'}",2039,1631,574
BLOSSOM FIRE DEPARTMENT,15008,1000 N BLOSSOM ROAD,ELMA,NY,14059,15,Erie,7166682775,42.854064,-78.692408,"{'longitude': '-78.692408', 'latitude': '42.854064'}",2041,515,294
BLUE MOUNTAIN LAKE FIRE DEPT,21001,RT 28 MAIN ST,BLUE MOUNTAIN LAKE,NY,12812,21,Hamilton,5183527740,43.83799,-74.42681,"{'longitude': '-74.42681', 'latitude': '43.83799'}",622,103,869
BLUE POINT FIRE DEPARTMENT,52007,205 BLUE POINT AVENUE,BLUE POINT,NY,11715,52,Suffolk,6313636310,40.749804,-73.036722,"{'longitude': '-73.036722', 'latitude': '40.749804'}",2179,1072,
BOGHT COMMUNITY FIRE DEPARTMENT,01004,1095 LOUDON ROAD,COHOES,NY,12047,01,Albany,5187850339,42.783571,-73.743969,"{'longitude': '-73.743969', 'latitude': '42.783571'}",2030,1176,808
BOHEMIA FIRE DEPARTMENT,52008,950 PEARL STREET,BOHEMIA,NY,11716,52,Suffolk,6315892555,40.765573,-73.109694,"{'longitude': '-73.109694', 'latitude': '40.765573'}",2179,1073,
BOLIVAR FIRE DEPARTMENT,02010,460 MAIN ST  PO BOX 483,BOLIVAR,NY,14715,02,Allegany,5859281250,42.064374,-78.168037,"{'longitude': '-78.168037', 'latitude': '42.064374'}",2031,1696,469
BOLTON FIRE DEPARTMENT,57004,5003 LAKE SHORE DR BOX 1365,BOLTON LANDING,NY,12814,57,Warren,5186443071,43.559874,-73.654489,"{'longitude': '-73.654489', 'latitude': '43.559874'}",2183,801,823
BOMBAY FIRE DEPARTMENT,17002,1856 STATE RTE 95 PO BOX 27,BOMBAY,NY,12914,17,Franklin,5183584502,44.92898,-74.60753,"{'longitude': '-74.60753', 'latitude': '44.92898'}",621,208,201
BOONVILLE FIRE DEPARTMENT,33002,PO BOX 164,BOONVILLE,NY,13309,33,Oneida,3159425389,43.482408,-75.333189,"{'longitude': '-75.333189', 'latitude': '43.482408'}",625,767,935
BORDEN HOSE FIRE DEPARTMENT,09003,PO BOX 197,MT UPTON,NY,13809,09,Chenango,6077648517,42.39255,-75.40072,"{'longitude': '-75.40072', 'latitude': '42.39255'}",2037,441,111
BORDER CITY FIRE DEPARTMENT,50001,3000 FALLBROOK STREET,GENEVA,NY,14456,50,Seneca,3157899631,42.87937,-76.960817,"{'longitude': '-76.960817', 'latitude': '42.87937'}",2144,233,585
BORODINO FIRE DEPARTMENT,34005,2500 NUNNERY RD RD #3,SKANEATELES,NY,13152,34,Onondaga,3156733735,42.858103,-76.337904,"{'longitude': '-76.337904', 'latitude': '42.858103'}",2132,690,703
BOSTON FIRE DEPARTMENT,15009,6746 MILL ST  PO BOX 357,BOSTON,NY,14025,15,Erie,7169416200,42.628713,-78.738227,"{'longitude': '-78.738227', 'latitude': '42.628713'}",2041,491,303
BOVINA CENTER FIRE DEPARTMENT,13005,36 MAPLE AVENUE,BOVINA CENTER,NY,13740,13,Delaware,6078324857,42.262478,-74.781007,"{'longitude': '-74.781007', 'latitude': '42.262478'}",2039,1632,582
BOWMANSVILLE FIRE DEPARTMENT,15010,36 MAIN STREET PO BOX 137,BOWMANSVILLE,NY,14026,15,Erie,7166830910,42.942263,-78.685384,"{'longitude': '-78.685384', 'latitude': '42.942263'}",2041,492,293
BRADFORD VOLUNTEER FIRE COMPANY,51007,PO BOX 454,BRADFORD,NY,14815,51,Steuben,6075832200,42.36672,-77.09567,"{'longitude': '-77.09567', 'latitude': '42.36672'}",2143,1761,657
BRANCHPORT/KEUKA PARK FIRE DIST,62003,3686 RTE 54A PO BOX 381,BRANCHPORT,NY,14418,62,Yates,3155952296,42.599753,-77.150728,"{'longitude': '-77.150728', 'latitude': '42.599753'}",2225,174,108
BRANT VOLUNTEER FIRE DEPARTMENT,15011,1231 BRANT-FRNHM RD POB 184,BRANT,NY,14027,15,Erie,7165493691,42.58852,-79.01755,"{'longitude': '-79.01755', 'latitude': '42.58852'}",2041,938,302
BRASHER WINTHROP FIRE DEPT,45002,PO BOX 11,WINTHROP,NY,13697,45,St. Lawrence,3153894922,44.73892,-74.78545,"{'longitude': '-74.78545', 'latitude': '44.73892'}",2140,1624,314
BREESPORT FIRE DEPARTMENT,08004,3 JACKSON AVENUE PO BOX A,BREESPORT,NY,14816,08,Chemung,6077391953,42.18075,-76.73351,"{'longitude': '-76.73351', 'latitude': '42.18075'}",2036,1777,481
BRENTWOOD FIRE DEPARTMENT,52009,125 FOURTH STREET,BRENTWOOD,NY,11717,52,Suffolk,6312737080,40.77694,-73.247699,"{'longitude': '-73.247699', 'latitude': '40.77694'}",2179,1074,
BREWERTON FIRE DEPARTMENT,34006,PO BOX 708,BREWERTON,NY,13029,34,Onondaga,3156767724,43.235896,-76.140285,"{'longitude': '-76.140285', 'latitude': '43.235896'}",2132,348,714
BREWSTER FIRE DEPARTMENT,40001,501 NORTH MAIN STREET,BREWSTER,NY,10509,40,Putnam,9142793555,41.398571,-73.619434,"{'longitude': '-73.619434', 'latitude': '41.398571'}",627,1198,113
BRIARCLIFF MANOR FIRE DEPARTMENT,60006,1111 PLEASANTVILLE ROAD,BRIARCLIFF MANOR,NY,10510,60,Westchester,9149414440,41.148783,-73.828924,"{'longitude': '-73.828924', 'latitude': '41.148783'}",2185,1199,959
BRIDGEHAMPTON FIRE DEPARTMENT,52010,64 SCHOOL ST PO BOX 1280,BRIDGEHAMPTON,NY,11932,52,Suffolk,6315370336,40.9371,-72.30182,"{'longitude': '-72.30182', 'latitude': '40.9371'}",2179,1533,
BRIDGEPORT FIRE DEPARTMENT,27001,PO BOX 600,BRIDGEPORT,NY,13030,27,Madison,3156339048,43.16727,-75.94515,"{'longitude': '-75.94515', 'latitude': '43.16727'}",2092,349,133
BRIDGEWATER FIRE DEPARTMENT,33003,BOX 365,BRIDGEWATER,NY,13313,33,Oneida,,42.879282,-75.254596,"{'longitude': '-75.254596', 'latitude': '42.879282'}",625,770,933
BRIER HILL FIRE DEPARTMENT,45003,PO BOX 57,BRIER HILL,NY,13614,45,St. Lawrence,3153754128,44.52324,-75.70042,"{'longitude': '-75.70042', 'latitude': '44.52324'}",2140,1475,327
BRIGHTON FIRE DEPARTMENT,28003,3100 EAST AVENUE,ROCHESTER,NY,14610,28,Monroe,7163813200,43.127985,-77.528444,"{'longitude': '-77.528444', 'latitude': '43.127985'}",2093,1668,560
BRIGHTON FIRE DEPARTMENT,15012,50 JAMAICA ROAD,TONAWANDA,NY,14150,15,Erie,7168376255,42.992963,-78.840565,"{'longitude': '-78.840565', 'latitude': '42.992963'}",2041,8,283
BRISBEN FIRE DEPARTMENT,09004,2716 STATE HIGHWAY 12,BRISBEN,NY,13830,09,Chenango,6076568130,42.4291,-75.62265,"{'longitude': '-75.62265', 'latitude': '42.4291'}",2037,451,269
BRISTOL VOLUNTEER FIRE DEPT,35001,4350 ROUTE 64,CANANDAIGUA,NY,14424,35,Ontario,7166576694,42.816371,-77.394158,"{'longitude': '-77.394158', 'latitude': '42.816371'}",2133,178,788
BROADALBIN FIRE DEPARTMENT,18002,PO BOX 126,BROADALBIN,NY,12025,18,Fulton,5188833611,43.058493,-74.188601,"{'longitude': '-74.188601', 'latitude': '43.058493'}",2085,1152,390
BROAD CHANNEL FIRE DEPARTMENT,41001,15 NOEL ROAD,BROAD CHANNEL,NY,11693,41,Queens,,40.607926,-73.818418,"{'longitude': '-73.818418', 'latitude': '40.607926'}",2137,1029,204
BROCKPORT FIRE DEPARTMENT,28004,38 MARKET STREET,BROCKPORT,NY,14420,28,Monroe,5856371030,43.21568,-77.93358,"{'longitude': '-77.93358', 'latitude': '43.21568'}",2093,175,506
BROCTON FIRE DEPARTMENT,07003,80 LAKE AVE PO BOX 457,BROCTON,NY,14716,07,Chautauqua,7167924734,42.392564,-79.44116,"{'longitude': '-79.44116', 'latitude': '42.392564'}",2035,1697,212
BROOKFIELD FIRE DEPARTMENT,27002,MAIN ST PO BOX 99,BROOKFIELD,NY,13314,27,Madison,3158996251,42.811925,-75.326185,"{'longitude': '-75.326185', 'latitude': '42.811925'}",2092,771,178
BROOKHAVEN FIRE DEPARTMENT,52011,2486 MONTAUK HIGHWAY,BROOKHAVEN,NY,11719,52,Suffolk,6312860282,40.78638,-72.916991,"{'longitude': '-72.916991', 'latitude': '40.78638'}",2179,1076,
BROOKS FIRE DEPARTMENT,02016,20 S GENESEE ST BOX 53,FILLMORE,NY,14735,02,Allegany,5855678614,42.465164,-78.112337,"{'longitude': '-78.112337', 'latitude': '42.465164'}",2031,1713,462
BROOKTONDALE FIRE DEPARTMENT,55001,522 VALLEY ROAD,BROOKTONDALE,NY,14817,55,Tompkins,6075397173,42.36059,-76.39421,"{'longitude': '-76.39421', 'latitude': '42.36059'}",2181,1763,726
BROWNVILLE FIRE DEPARTMENT,23007,121 BROWN BOULEVARD,BROWNVILLE,NY,13615,23,Jefferson,3157827220,44.00299,-75.9838,"{'longitude': '-75.9838', 'latitude': '44.00299'}",2089,1476,858
BRUNSWICK NO 1 FIRE DEPARTMENT,42004,566 HOOSICK ROAD,TROY,NY,12180,42,Rensselaer,5182729393,42.740294,-73.656569,"{'longitude': '-73.656569', 'latitude': '42.740294'}",2138,11,140
BRUSHTON FIRE DEPARTMENT,17003,816 COUNTY RD 7 PO BOX 607,BRUSHTON,NY,12916,17,Franklin,5185296007,44.826606,-74.521276,"{'longitude': '-74.521276', 'latitude': '44.826606'}",621,209,190
BRUSHTON FIRE DEPARTMENT,42004,816 COUNTY RD 7 PO BOX 607,BRUSHTON,NY,12916,17,Franklin,5185296007,42.740294,-73.656569,"{'longitude': '-73.656569', 'latitude': '42.740294'}",2138,11,140
BUCHANAN ENGINE COMPANY NO 1,60007,159 ALBANY POST ROAD,BUCHANAN,NY,10511,60,Westchester,9147375010,41.26079,-73.93576,"{'longitude': '-73.93576', 'latitude': '41.26079'}",2185,1200,969
BUFFALO FIRE DEPARTMENT,15100,195 COURT STREET,BUFFALO,NY,14202,15,Erie,7168515333,42.887005,-78.881198,"{'longitude': '-78.881198', 'latitude': '42.887005'}",2041,33,306
BULLVILLE FIRE DEPARTMENT,36057,PO BOX 225,BULLVILLE,NY,10915,36,Orange,9147334373,41.54152,-74.35727,"{'longitude': '-74.35727', 'latitude': '41.54152'}",2134,1495,879
BURDETT VOLUNTEER FIRE DEPT,49002,PO BOX 238,BURDETT,NY,14818,49,Schuyler,6075462266,42.418905,-76.849405,"{'longitude': '-76.849405', 'latitude': '42.418905'}",2143,1764,661
BURKE FIRE DEPARTMENT,17004,1041 E MAIN ST  PO BOX 40,BURKE,NY,12917,17,Franklin,5184832787,44.904644,-74.168708,"{'longitude': '-74.168708', 'latitude': '44.904644'}",621,210,198
BURNT HILLS FIRE DEPARTMENT,46004,811 SARATOGA ROAD PO BOX 33,BURNT HILLS,NY,12027,46,Saratoga,5183998912,42.910404,-73.898319,"{'longitude': '-73.898319', 'latitude': '42.910404'}",2141,1153,
BURTONSVILLE FIRE DEPARTMENT,29003,1231 ESPERANCE ROAD,ESPERANCE,NY,12066,29,Montgomery,5188956815,42.80508,-74.259445,"{'longitude': '-74.259445', 'latitude': '42.80508'}",2142,1191,496
BUSHNELLS BASIN FIRE DEPARTMENT,28005,661 KREAG ROAD,PITTSFORD,NY,14534,28,Monroe,7162485606,43.061036,-77.476059,"{'longitude': '-77.476059', 'latitude': '43.061036'}",2093,372,546
BUSKIRK VOLUNTEER FIRE DEPT,42005,3388 NY 67,BUSKIRK,NY,12028,42,Rensselaer,5186869966,42.956201,-73.433047,"{'longitude': '-73.433047', 'latitude': '42.956201'}",2138,1154,137
BUSTI FIRE DEPARTMENT,07004,886 MILL ROAD,JAMESTOWN,NY,14701,07,Chautauqua,7164871271,42.037701,-79.283338,"{'longitude': '-79.283338', 'latitude': '42.037701'}",2035,1687,232
BYRON FIRE DEPARTMENT,19007,6157 E MAIN ST PO BOX 210,BYRON,NY,14422,19,Genesee,5855482206,43.079668,-78.062161,"{'longitude': '-78.062161', 'latitude': '43.079668'}",2086,176,797
CADYVILLE FIRE DEPARTMENT,10005,PO BOX 97   2122 ROUTE 3,CADYVILLE,NY,12918,10,Clinton,5182938326,44.68187,-73.6683,"{'longitude': '-73.6683', 'latitude': '44.68187'}",2038,211,2
CAIRO HOSE FIRE DEPARTMENT,20004,BOX 500,CAIRO,NY,12413,20,Greene,5186223112,42.30163,-73.99801,"{'longitude': '-73.99801', 'latitude': '42.30163'}",2087,88,778
CALCIUM FIRE DEPARTMENT,23008,SANFORD RD PO BOX 161,CALCIUM,NY,13616,23,Jefferson,3157826576,44.02904,-75.84522,"{'longitude': '-75.84522', 'latitude': '44.02904'}",2089,1477,852
CALEDONIA FIRE DEPARTMENT,26002,442 ARMSTRONG RD PO BOX 426,MUMFORD,NY,14511,26,Livingston,7165386130,42.973216,-77.855372,"{'longitude': '-77.855372', 'latitude': '42.973216'}",2091,177,760
CALLICOON CENTER FIRE DEPARTMENT,53004,1669 GULF ROAD PO BOX 144,CALLICOON CENTER,NY,12724,53,Sullivan,8454823020,41.838553,-74.946337,"{'longitude': '-74.946337', 'latitude': '41.838553'}",2180,1040,681
CALLICOON FIRE DEPARTMENT,53003,9305 ROUTE 97 PO BOX 806,CALLICOON,NY,12723,53,Sullivan,8458874233,41.767848,-75.0572,"{'longitude': '-75.0572', 'latitude': '41.767848'}",2180,1039,678
CAMBRIA FIRE DEPARTMENT,32004,4631 CAMBRIA WILSON RD,LOCKPORT,NY,14094,32,Niagara,7164348948,43.190407,-78.822773,"{'longitude': '-78.822773', 'latitude': '43.190407'}",2131,930,183
CAMBRIDGE VOLUNTEER FIRE DEPT,58002,11 WEST MAIN ST PO BOX 554,CAMBRIDGE,NY,12816,58,Washington,5186773048,43.027992,-73.382399,"{'longitude': '-73.382399', 'latitude': '43.027992'}",2184,803,729
CAMDEN FIRE DEPARTMENT,33004,14 CHURCH ST,CAMDEN,NY,13316,33,Oneida,3152450560,43.336046,-75.746113,"{'longitude': '-75.746113', 'latitude': '43.336046'}",625,773,932
CAMERON FIRE DEPARTMENT,51008,4082 DEPOT ST PO BOX 1993,CAMERON,NY,14819,51,Steuben,6076952417,42.21619,-77.44635,"{'longitude': '-77.44635', 'latitude': '42.21619'}",2178,1765,48
CAMILLUS FIRE DEPARTMENT,34007,5801 NEEWPORT ROAD,CAMILLUS,NY,13031,34,Onondaga,3156724207,43.052289,-76.31019,"{'longitude': '-76.31019', 'latitude': '43.052289'}",2132,350,675
CAMPBELL FIRE DEPARTMENT,51009,4795 CHURCH STREET,CAMPBELL,NY,14821,51,Steuben,6075278051,42.233161,-77.193125,"{'longitude': '-77.193125', 'latitude': '42.233161'}",2178,1767,47
CAMPBELL HALL ENGINE CO NO 1,36002,COUNTY ROUTE 4,CAMPBELL HALL,NY,10916,36,Orange,9144272888,41.455253,-74.258304,"{'longitude': '-74.258304', 'latitude': '41.455253'}",2134,1496,880
CAMPVILLE VOLUNTEER FIRE DEPT,54003,6153 STATE RT 17C,ENDICOTT,NY,13760,54,Tioga,6077489470,42.08794,-76.14877,"{'longitude': '-76.14877', 'latitude': '42.08794'}",630,388,59
CANAAN FIRE DEPARTMENT,11003,PO BOX 207,CANAAN,NY,12029,11,Columbia,5187814787,42.40609,-73.4299,"{'longitude': '-73.4299', 'latitude': '42.40609'}",619,1155,530
CANAJOHARIE FIRE DEPARTMENT,29004,PO BOX 28,CANAJOHARIE,NY,13317,29,Montgomery,5186733812,42.906534,-74.575124,"{'longitude': '-74.575124', 'latitude': '42.906534'}",624,774,494
CANANDAIGUA FIRE DEPT (CITY),35002,335 SOUTH MAIN STREET,CANANDAIGUA,NY,14424,35,Ontario,5853942111,42.882765,-77.277585,"{'longitude': '-77.277585', 'latitude': '42.882765'}",2133,178,785
CANASERAGA FIRE DEPARTMENT,02011,10 MAIN ST BOX 322,CANASERAGA,NY,14822,02,Allegany,6075456221,42.43964,-77.85099,"{'longitude': '-77.85099', 'latitude': '42.43964'}",2031,1768,463
CANASTOTA FIRE DEPARTMENT,27003,PO BOX 81,CANASTOTA,NY,13032,27,Madison,3156972771,43.07812,-75.753198,"{'longitude': '-75.753198', 'latitude': '43.07812'}",2092,351,83
CANDOR FIRE DEPARTMENT,54004,74 OWEGO STREET,CANDOR,NY,13743,54,Tioga,6076595859,42.234558,-76.336497,"{'longitude': '-76.336497', 'latitude': '42.234558'}",630,1633,63
CANISTEO FIRE DEPARTMENT,51010,35 MAIN STREET,CANISTEO,NY,14823-1125,51,Steuben,6076982711,42.269806,-77.604374,"{'longitude': '-77.604374', 'latitude': '42.269806'}",2178,1769,45
CANOGA FIRE DEPARTMENT,50002,3576 ROUTE 89,SENECA FALLS,NY,13148,50,Seneca,3155492539,42.90435,-76.79085,"{'longitude': '-76.79085', 'latitude': '42.90435'}",2144,689,589
CANTON FIRE DEPARTMENT,45004,77 RIVERSIDE DRIVE,CANTON,NY,13617,45,St. Lawrence,3153864613,44.602068,-75.176362,"{'longitude': '-75.176362', 'latitude': '44.602068'}",2140,1478,345
CAPE VINCENT FIRE DEPARTMENT,23010,214 E BROADWAY ST,CAPE VINCENT,NY,13618,23,Jefferson,3156542004,44.128155,-76.335544,"{'longitude': '-76.335544', 'latitude': '44.128155'}",2089,1479,857
CARLE PLACE FIRE DEPARTMENT,30008,460 BROADWAY PO BOX 22,CARLE PLACE,NY,11514,30,Nassau,5163348888,40.74986,-73.607122,"{'longitude': '-73.607122', 'latitude': '40.74986'}",2094,1353,67
CARLISLE FIRE DEPARTMENT,48002,2417 HWY RT 20 BOX DRAWER B,CARLISLE,NY,12031,48,Schoharie,5182342134,42.7602,-74.45375,"{'longitude': '-74.45375', 'latitude': '42.7602'}",629,1156,181
CARLTON FIRE COMPANY,37003,14341 WATERPORT/CARLTON RD,ALBION,NY,14411,37,Orleans,5856824250,43.323254,-78.193205,"{'longitude': '-78.193205', 'latitude': '43.323254'}",626,170,514
CARMAN FIRE DEPT ROTTERDAM #3,47003,2435 HAMBURG STREET,SCHENECTADY,NY,12303,47,Schenectady,5183556425,42.779614,-73.932773,"{'longitude': '-73.932773', 'latitude': '42.779614'}",2142,72,102
CARMEL FIRE DEPARTMENT,40002,94 GLENEIDA AVENUE,CARMEL,NY,10512,40,Putnam,8452255100,41.429583,-73.679481,"{'longitude': '-73.679481', 'latitude': '41.429583'}",627,1201,118
CAROGA LAKE FIRE DEPARTMENT,18003,PO BOX 882,CAROGA LAKE,NY,12032,18,Fulton,5188354137,43.22482,-74.51752,"{'longitude': '-74.51752', 'latitude': '43.22482'}",2085,1157,386
CARTHAGE FIRE DEPARTMENT,23011,317 S WASHINGTON ST,CARTHAGE,NY,13619,23,Jefferson,3154932346,43.972092,-75.589751,"{'longitude': '-75.589751', 'latitude': '43.972092'}",2089,1480,840
CASSADAGA FIRE DEPARTMENT,07005,22 MILL STREET PO BOX 226,CASSADAGA,NY,14718,07,Chautauqua,7165953131,42.341653,-79.310307,"{'longitude': '-79.310307', 'latitude': '42.341653'}",2035,1699,208
CASSVILLE FIRE DEPARTMENT,33005,1907 STATE ROUTE 8,CASSVILLE,NY,13318,33,Oneida,,42.943363,-75.251415,"{'longitude': '-75.251415', 'latitude': '42.943363'}",625,775,922
CASTILE FIRE DEPARTMENT,61005,37 N MAIN ST PO BOX 98,CASTILE,NY,14427,61,Wyoming,7164932850,42.633527,-78.04854,"{'longitude': '-78.04854', 'latitude': '42.633527'}",2186,180,416
CASTLETON FIRE DEPARTMENT,42006,11 GREEN AVENUE,CASTLETON,NY,12033,42,Rensselaer,5187324342,42.52878,-73.755801,"{'longitude': '-73.755801', 'latitude': '42.52878'}",2138,1158,122
CASTORLAND FIRE DEPARTMENT,25002,MAIN STREET PO BOX 37,CASTORLAND,NY,13620,25,Lewis,3153766212,43.88967,-75.43976,"{'longitude': '-75.43976', 'latitude': '43.88967'}",623,1481,613
CATO FIRE DEPARTMENT,06004,2569 E MAIN STREET,CATO,NY,13033,06,Cayuga,3156262393,43.175153,-76.553605,"{'longitude': '-76.553605', 'latitude': '43.175153'}",618,352,86
CATON VOLUNTEER FIRE DEPARTMENT,51011,10596 W CATON RD,CORNING,NY,14830,51,Steuben,6075246621,42.057277,-77.029294,"{'longitude': '-77.029294', 'latitude': '42.057277'}",2178,1774,44
CATSKILL FIRE DEPARTMENT,20003,422 MAIN STREET,CATSKILL,NY,12414,20,Greene,5189432520,42.220441,-73.865918,"{'longitude': '-73.865918', 'latitude': '42.220441'}",2087,89,777
CATTARAUGUS FIRE DEPARTMENT,05002,MEMORIAL DRIVE,CATTARAUGUS,NY,14719,05,Cattaraugus,7169389491,42.319333,-78.866453,"{'longitude': '-78.866453', 'latitude': '42.319333'}",2034,1700,355
CAUGHDENOY VOLUNTEER FIRE DEPT,38004,48 PROSPECT STREET,CENTRAL SQUARE,NY,13036,38,Oswego,3156683551,43.273222,-76.204623,"{'longitude': '-76.204623', 'latitude': '43.273222'}",2135,355,256
CAYUGA FIRE DEPARTMENT,06005,6233 COURT STREET,CAYUGA,NY,13034,06,Cayuga,,42.918625,-76.726189,"{'longitude': '-76.726189', 'latitude': '42.918625'}",618,353,95
CAYUGA HEIGHTS FIRE DEPARTMENT,55002,194 PLEASANT GROVE ROAD,ITHACA,NY,14850,55,Tompkins,6072572377,42.467529,-76.477938,"{'longitude': '-76.477938', 'latitude': '42.467529'}",2181,1786,718
CAZENOVIA FIRE DEPARTMENT,27004,121 ALBANY STREET,CAZENOVIA,NY,13035,27,Madison,3156552834,42.929933,-75.850825,"{'longitude': '-75.850825', 'latitude': '42.929933'}",2092,354,177
CEDARVILLE FIRE DEPARTMENT,22002,960 STATE ROUTE 51,ILION,NY,13357,22,Herkimer,3158225377,42.930954,-75.114118,"{'longitude': '-75.114118', 'latitude': '42.930954'}",2088,564,694
CELORON FIRE DEPARTMENT,07006,92 DUNHAM AVENUE PO BOX 328,CELORON,NY,14720,07,Chautauqua,7164881788,42.101517,-79.283424,"{'longitude': '-79.283424', 'latitude': '42.101517'}",2035,1687,224
CENTER BRUNSWICK VOL FIRE CO,42007,1045 HOOSICK ROAD,TROY,NY,12180,42,Rensselaer,5182793878,42.757368,-73.609214,"{'longitude': '-73.609214', 'latitude': '42.757368'}",2138,11,140
CENTEREACH FIRE DEPARTMENT,52013,9 SOUTH WASHINGTON AVENUE,CENTEREACH,NY,11720,52,Suffolk,6315888652,40.857353,-73.089369,"{'longitude': '-73.089369', 'latitude': '40.857353'}",2179,1077,
CENTER MORICHES FIRE DEPARTMENT,52014,301 MAIN STREET,CENTER MORICHES,NY,11934,52,Suffolk,6318780089,40.800224,-72.790872,"{'longitude': '-72.790872', 'latitude': '40.800224'}",2179,1535,
CENTERPORT FIRE DEPARTMENT,52015,9 PARK CIRCLE PO BOX 615,CENTERPORT,NY,11721,52,Suffolk,6312615916,40.887132,-73.367797,"{'longitude': '-73.367797', 'latitude': '40.887132'}",2179,1078,
CENTERVILLE FIRE DEPARTMENT,56005,35 CATSKILL VIEW CIRCLE,SAUGERTIES,NY,12477,56,Ulster,8452465223,42.08277,-73.967,"{'longitude': '-73.967', 'latitude': '42.08277'}",2182,330,427
CENTERVILLE MEMORIAL FIRE DEPT,02013,8936 CNTY ROAD 3 BOX 16,CENTERVILLE,NY,14029,02,Allegany,5855678132,42.4802,-78.24897,"{'longitude': '-78.24897', 'latitude': '42.4802'}",2031,520,467
CENTRAL BRIDGE FIRE DEPARTMENT,48003,BOX 294,CENTRAL BRIDGE,NY,12035,48,Schoharie,5188684641,42.712128,-74.336757,"{'longitude': '-74.336757', 'latitude': '42.712128'}",629,1159,158
CENTRAL ISLIP FIRE DEPARTMENT,52016,97 CARLTON AVENUE,CENTRAL ISLIP,NY,11722,52,Suffolk,6312349145,40.785013,-73.200779,"{'longitude': '-73.200779', 'latitude': '40.785013'}",2179,1079,
CENTRAL NYACK FIRE DEPARTMENT,44002,43 WALDRON AVE PO BOX 589,CENTRAL NYACK,NY,10960,44,Rockland,8453580678,41.090526,-73.938968,"{'longitude': '-73.938968', 'latitude': '41.090526'}",628,1548,538
CENTRAL SQUARE FIRE CO #1,38005,687 N MAIN STREET PO BOX 92,CENTRAL SQUARE,NY,13036,38,Oswego,3156686555,43.287999,-76.147148,"{'longitude': '-76.147148', 'latitude': '43.287999'}",2135,355,256
CHAFFEE-SARDINIA FIRE DEPT,15058,13670 BRIGGS ST  PO BOX 203,CHAFFEE,NY,14030,15,Erie,7164965150,42.55167,-78.51108,"{'longitude': '-78.51108', 'latitude': '42.55167'}",2041,494,286
CHAMPION FIRE DEPT (TOWN),23012,220 COUNTY RT 47,CARTHAGE,NY,13619,23,Jefferson,3154932099,43.97989,-75.60827,"{'longitude': '-75.60827', 'latitude': '43.97989'}",2089,1480,840
CHAMPLAIN FIRE DEPARTMENT,10006,612 ELM STREET PO BOX 489,CHAMPLAIN,NY,12919,10,Clinton,5182985500,44.986091,-73.44157,"{'longitude': '-73.44157', 'latitude': '44.986091'}",2038,212,9
CHAPPAQUA FIRE DEPARTMENT,60008,PO BOX 454,CHAPPAQUA,NY,10514,60,Westchester,9142380819,41.158436,-73.764554,"{'longitude': '-73.764554', 'latitude': '41.158436'}",2185,1202,964
CHARLESTON FIRE DEPARTMENT,29005,222 SULLIVAN ROAD,ESPERANCE,NY,12066,29,Montgomery,5189226706,42.802994,-74.40089,"{'longitude': '-74.40089', 'latitude': '42.802994'}",624,1411,496
CHARLOTTEVILLE FIRE DEPARTMENT,48004,PO BOX 111,CHARLOTTEVILLE,NY,12036,48,Schoharie,6073979330,42.545005,-74.666102,"{'longitude': '-74.666102', 'latitude': '42.545005'}",629,1160,150
CHARLTON FIRE DEPARTMENT,46005,786 CHARLTON ROAD,CHARLTON,NY,12019,46,Saratoga,5183991967,42.93383,-73.966374,"{'longitude': '-73.966374', 'latitude': '42.93383'}",2141,1147,
CHATEAUGAY FIRE DEPARTMENT,17005,2 LAKE STREET PO BOX 911,CHATEAUGAY,NY,12920,17,Franklin,5184973135,44.923109,-74.079339,"{'longitude': '-74.079339', 'latitude': '44.923109'}",621,213,197
